RX Date/Time,Mask Temp(field 1),Room Temp(field 2),Delta(field 3),Tank Temp(field 4)
2022/07/15/ 14:56:21::092,Temp Test,11.25,22.1875,0.4375,10.9375
2022/07/15/ 14:56:26::157,Temp Test,11.1875,22.1875,0.4375,11.0
2022/07/15/ 14:56:31::221,Temp Test,11.25,22.1875,0.4375,10.9375
2022/07/15/ 14:56:36::284,Temp Test,11.25,22.1875,0.4375,10.9375
2022/07/15/ 14:56:41::348,Temp Test,11.1875,22.1875,0.375,11.0
2022/07/15/ 14:56:46::412,Temp Test,11.25,22.1875,0.4375,10.9375
2022/07/15/ 14:56:51::476,Temp Test,11.25,22.125,0.4375,10.875
2022/07/15/ 14:56:56::540,Temp Test,11.25,22.1875,0.375,10.9375
2022/07/15/ 14:57:01::605,Temp Test,11.1875,22.1875,0.4375,11.0
2022/07/15/ 14:57:06::671,Temp Test,11.25,22.1875,0.4375,10.9375
2022/07/15/ 14:57:11::734,Temp Test,11.25,22.125,0.4375,10.875
2022/07/15/ 14:57:16::798,Temp Test,11.1875,22.125,0.375,10.9375
2022/07/15/ 14:57:21::862,Temp Test,11.1875,22.125,0.4375,10.9375
2022/07/15/ 14:57:26::926,Temp Test,11.1875,22.1875,0.4375,11.0
2022/07/15/ 14:57:31::990,Temp Test,11.1875,22.125,0.4375,10.9375
2022/07/15/ 14:57:37::054,Temp Test,11.125,22.1875,0.4375,11.0625
2022/07/15/ 14:57:42::128,Temp Test,11.1875,22.1875,0.4375,11.0
2022/07/15/ 14:57:47::183,Temp Test,11.1875,22.125,0.4375,10.9375
2022/07/15/ 14:57:52::248,Temp Test,11.1875,22.125,0.4375,10.9375
2022/07/15/ 14:57:57::311,Temp Test,11.125,22.125,0.4375,11.0
2022/07/15/ 14:58:02::376,Temp Test,11.125,22.1875,0.4375,11.0625
2022/07/15/ 14:58:07::439,Temp Test,11.125,22.125,0.375,11.0
2022/07/15/ 14:58:12::502,Temp Test,11.125,22.125,0.4375,11.0
2022/07/15/ 14:58:17::567,Temp Test,11.1875,22.125,0.4375,10.9375
2022/07/15/ 14:58:22::630,Temp Test,11.125,22.125,0.375,11.0
2022/07/15/ 14:58:27::695,Temp Test,11.125,22.0625,0.4375,10.9375
2022/07/15/ 14:58:32::758,Temp Test,11.125,22.125,0.4375,11.0
2022/07/15/ 14:58:37::825,Temp Test,11.125,22.125,0.4375,11.0
2022/07/15/ 14:58:42::888,Temp Test,11.125,22.125,0.375,11.0
2022/07/15/ 14:58:47::953,Temp Test,11.125,22.0625,0.375,10.9375
2022/07/15/ 14:58:53::019,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 14:58:58::081,Temp Test,11.0625,22.125,0.4375,11.0625
2022/07/15/ 14:59:03::145,Temp Test,11.125,22.0625,0.4375,10.9375
2022/07/15/ 14:59:08::209,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 14:59:13::273,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 14:59:18::337,Temp Test,11.0625,22.0625,0.375,11.0
2022/07/15/ 14:59:23::401,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 14:59:28::465,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 14:59:33::529,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 14:59:38::595,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 14:59:43::659,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 14:59:48::723,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 14:59:53::787,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 14:59:58::850,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:00:03::914,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:00:08::980,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:00:14::044,Temp Test,11.125,22.0625,0.4375,10.9375
2022/07/15/ 15:00:19::108,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:00:24::172,Temp Test,11.125,22.0625,0.375,10.9375
2022/07/15/ 15:00:29::238,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:00:34::302,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:00:39::365,Temp Test,11.0625,22.0625,0.5,11.0
2022/07/15/ 15:00:44::429,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:00:49::493,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:00:54::557,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:00:59::621,Temp Test,11.0625,22.0,0.375,10.9375
2022/07/15/ 15:01:04::685,Temp Test,11.0625,22.0,0.4375,10.9375
2022/07/15/ 15:01:09::749,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:01:14::813,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:01:19::878,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:01:24::943,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:01:30::006,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:01:35::071,Temp Test,11.0625,22.0,0.4375,10.9375
2022/07/15/ 15:01:40::134,Temp Test,11.0625,22.0625,0.5,11.0
2022/07/15/ 15:01:45::200,Temp Test,11.0625,22.0625,0.375,11.0
2022/07/15/ 15:01:50::265,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:01:55::328,Temp Test,11.125,22.0,0.375,10.875
2022/07/15/ 15:02:00::392,Temp Test,11.125,22.0,0.4375,10.875
2022/07/15/ 15:02:05::456,Temp Test,11.125,22.0,0.4375,10.875
2022/07/15/ 15:02:10::522,Temp Test,11.125,22.0,0.4375,10.875
2022/07/15/ 15:02:15::586,Temp Test,11.0625,22.0,0.5,10.9375
2022/07/15/ 15:02:20::650,Temp Test,11.0625,22.0,0.5,10.9375
2022/07/15/ 15:02:25::714,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:02:30::778,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:02:35::842,Temp Test,11.0625,22.0,0.4375,10.9375
2022/07/15/ 15:02:40::906,Temp Test,11.0625,22.0,0.4375,10.9375
2022/07/15/ 15:02:45::970,Temp Test,11.0625,22.0,0.4375,10.9375
2022/07/15/ 15:02:51::034,Temp Test,11.0625,22.0,0.5,10.9375
2022/07/15/ 15:02:56::098,Temp Test,11.0625,22.0,0.4375,10.9375
2022/07/15/ 15:03:01::163,Temp Test,11.0625,22.0,0.4375,10.9375
2022/07/15/ 15:03:06::227,Temp Test,11.0625,22.0,0.4375,10.9375
2022/07/15/ 15:03:11::291,Temp Test,11.0625,22.0,0.5,10.9375
2022/07/15/ 15:03:16::357,Temp Test,11.0625,22.0,0.4375,10.9375
2022/07/15/ 15:03:21::421,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:03:26::485,Temp Test,11.0625,22.0,0.375,10.9375
2022/07/15/ 15:03:31::549,Temp Test,11.0625,22.0,0.4375,10.9375
2022/07/15/ 15:03:36::612,Temp Test,11.125,22.0,0.375,10.875
2022/07/15/ 15:03:41::676,Temp Test,11.125,22.0,0.375,10.875
2022/07/15/ 15:03:46::740,Temp Test,11.0625,22.0,0.375,10.9375
2022/07/15/ 15:03:51::804,Temp Test,11.0625,22.0,0.4375,10.9375
2022/07/15/ 15:03:56::869,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:04:01::933,Temp Test,11.0625,22.0,0.375,10.9375
2022/07/15/ 15:04:06::997,Temp Test,11.0625,22.0,0.4375,10.9375
2022/07/15/ 15:04:12::060,Temp Test,11.0625,22.0,0.4375,10.9375
2022/07/15/ 15:04:17::132,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:04:22::188,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:04:27::252,Temp Test,11.125,22.0,0.4375,10.875
2022/07/15/ 15:04:32::321,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:04:37::380,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:04:42::445,Temp Test,11.125,22.0625,0.4375,10.9375
2022/07/15/ 15:04:47::509,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:04:52::575,Temp Test,11.0625,22.0,0.375,10.9375
2022/07/15/ 15:04:57::639,Temp Test,11.125,22.0625,0.4375,10.9375
2022/07/15/ 15:05:02::703,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:05:07::767,Temp Test,11.0,22.0625,0.375,11.0625
2022/07/15/ 15:05:12::830,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:05:17::894,Temp Test,11.0625,22.0,0.375,10.9375
2022/07/15/ 15:05:22::957,Temp Test,11.0,22.0,0.5,11.0
2022/07/15/ 15:05:28::022,Temp Test,11.0625,22.0,0.4375,10.9375
2022/07/15/ 15:05:33::086,Temp Test,11.0625,22.0625,0.375,11.0
2022/07/15/ 15:05:38::150,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:05:43::214,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:05:48::278,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:05:53::342,Temp Test,11.0625,22.0,0.4375,10.9375
2022/07/15/ 15:05:58::406,Temp Test,11.0625,22.0,0.4375,10.9375
2022/07/15/ 15:06:03::470,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:06:08::534,Temp Test,11.0625,22.0625,0.375,11.0
2022/07/15/ 15:06:13::598,Temp Test,11.0625,22.0625,0.375,11.0
2022/07/15/ 15:06:18::662,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:06:23::727,Temp Test,11.0625,22.0,0.375,10.9375
2022/07/15/ 15:06:28::791,Temp Test,11.0,22.0,0.4375,11.0
2022/07/15/ 15:06:33::855,Temp Test,11.0,22.0625,0.375,11.0625
2022/07/15/ 15:06:38::920,Temp Test,11.0625,22.0625,0.5,11.0
2022/07/15/ 15:06:43::984,Temp Test,11.0,22.0625,0.4375,11.0625
2022/07/15/ 15:06:49::048,Temp Test,11.0,22.0625,0.4375,11.0625
2022/07/15/ 15:06:54::112,Temp Test,11.0,22.0,0.4375,11.0
2022/07/15/ 15:06:59::176,Temp Test,11.0625,22.0625,0.4375,11.0
2022/07/15/ 15:07:04::240,Temp Test,11.0,22.0,0.4375,11.0
2022/07/15/ 15:07:09::304,Temp Test,11.0,22.0625,0.4375,11.0625
2022/07/15/ 15:07:14::367,Temp Test,11.0,22.0,0.4375,11.0
2022/07/15/ 15:07:19::432,Temp Test,11.0,22.0625,0.4375,11.0625
2022/07/15/ 15:07:24::495,Temp Test,11.0,22.0,0.4375,11.0
2022/07/15/ 15:07:29::560,Temp Test,11.0,22.0625,0.4375,11.0625
2022/07/15/ 15:07:34::623,Temp Test,11.0,22.0,0.5,11.0
2022/07/15/ 15:07:39::687,Temp Test,11.0,22.0,0.4375,11.0
2022/07/15/ 15:07:44::751,Temp Test,11.0,22.0,0.4375,11.0
2022/07/15/ 15:07:49::819,Temp Test,10.9375,22.0625,0.4375,11.125
2022/07/15/ 15:07:54::879,Temp Test,11.0,22.0,0.4375,11.0
2022/07/15/ 15:07:59::945,Temp Test,10.9375,22.0,0.4375,11.0625
2022/07/15/ 15:08:05::008,Temp Test,11.0,22.0,0.5,11.0
2022/07/15/ 15:08:10::073,Temp Test,10.9375,22.0,0.375,11.0625
2022/07/15/ 15:08:15::137,Temp Test,10.9375,22.0,0.375,11.0625
2022/07/15/ 15:08:20::202,Temp Test,10.9375,22.0,0.4375,11.0625
2022/07/15/ 15:08:25::266,Temp Test,10.9375,22.0,0.4375,11.0625
2022/07/15/ 15:08:30::330,Temp Test,10.9375,22.0,0.4375,11.0625
2022/07/15/ 15:08:35::393,Temp Test,10.9375,22.0,0.4375,11.0625
2022/07/15/ 15:08:40::458,Temp Test,10.9375,22.0,0.4375,11.0625
2022/07/15/ 15:08:45::521,Temp Test,10.9375,22.0,0.4375,11.0625
2022/07/15/ 15:08:50::585,Temp Test,10.9375,22.0,0.4375,11.0625
2022/07/15/ 15:08:55::649,Temp Test,10.9375,22.0,0.4375,11.0625
2022/07/15/ 15:09:00::712,Temp Test,10.9375,22.0,0.4375,11.0625
2022/07/15/ 15:09:05::776,Temp Test,10.9375,22.0,0.4375,11.0625
2022/07/15/ 15:09:10::841,Temp Test,10.9375,21.9375,0.5,11.0
2022/07/15/ 15:09:15::905,Temp Test,10.875,22.0,0.4375,11.125
2022/07/15/ 15:09:20::969,Temp Test,10.9375,22.0,0.4375,11.0625
2022/07/15/ 15:09:26::033,Temp Test,10.9375,22.0,0.4375,11.0625
2022/07/15/ 15:09:31::097,Temp Test,10.9375,21.9375,0.5,11.0
2022/07/15/ 15:09:36::162,Temp Test,10.9375,22.0,0.5,11.0625
2022/07/15/ 15:09:41::226,Temp Test,10.9375,21.9375,0.4375,11.0
2022/07/15/ 15:09:46::290,Temp Test,10.9375,22.0,0.4375,11.0625
2022/07/15/ 15:09:51::354,Temp Test,10.9375,22.0,0.4375,11.0625
2022/07/15/ 15:09:56::419,Temp Test,10.9375,21.9375,0.4375,11.0
2022/07/15/ 15:10:01::482,Temp Test,10.9375,22.0,0.4375,11.0625
2022/07/15/ 15:10:06::547,Temp Test,10.875,22.0,0.4375,11.125
2022/07/15/ 15:10:11::611,Temp Test,10.9375,22.0,0.4375,11.0625
2022/07/15/ 15:10:16::675,Temp Test,10.875,22.0,0.4375,11.125
2022/07/15/ 15:10:21::739,Temp Test,10.875,22.0,0.4375,11.125
2022/07/15/ 15:10:26::803,Temp Test,10.875,21.9375,0.4375,11.0625
2022/07/15/ 15:10:31::867,Temp Test,10.9375,22.0,0.4375,11.0625
2022/07/15/ 15:10:36::930,Temp Test,10.875,21.9375,0.4375,11.0625
2022/07/15/ 15:10:41::994,Temp Test,10.9375,21.9375,0.4375,11.0
2022/07/15/ 15:10:47::058,Temp Test,10.875,22.0,0.4375,11.125
2022/07/15/ 15:10:52::127,Temp Test,10.9375,21.9375,0.5,11.0
2022/07/15/ 15:10:57::186,Temp Test,10.9375,21.9375,0.4375,11.0
2022/07/15/ 15:11:02::250,Temp Test,10.875,21.9375,0.5,11.0625
2022/07/15/ 15:11:07::321,Temp Test,10.875,22.0,0.5,11.125
2022/07/15/ 15:11:12::379,Temp Test,10.9375,22.0,0.5,11.0625
2022/07/15/ 15:11:17::444,Temp Test,10.9375,21.9375,0.4375,11.0
2022/07/15/ 15:11:22::507,Temp Test,10.875,22.0,0.4375,11.125
2022/07/15/ 15:11:27::571,Temp Test,10.875,21.9375,0.4375,11.0625
2022/07/15/ 15:11:32::634,Temp Test,10.9375,21.9375,0.5,11.0
2022/07/15/ 15:11:37::699,Temp Test,10.875,21.9375,0.5,11.0625
2022/07/15/ 15:11:42::763,Temp Test,10.875,21.9375,0.4375,11.0625
2022/07/15/ 15:11:47::827,Temp Test,10.9375,21.9375,0.5,11.0
2022/07/15/ 15:11:52::891,Temp Test,10.875,21.9375,0.4375,11.0625
2022/07/15/ 15:11:57::955,Temp Test,10.875,21.9375,0.5,11.0625
2022/07/15/ 15:12:03::019,Temp Test,10.875,21.9375,0.4375,11.0625
2022/07/15/ 15:12:08::083,Temp Test,10.9375,21.9375,0.5,11.0
2022/07/15/ 15:12:13::147,Temp Test,10.875,21.9375,0.4375,11.0625
2022/07/15/ 15:12:18::210,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:12:23::274,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:12:28::338,Temp Test,10.875,21.9375,0.5,11.0625
2022/07/15/ 15:12:33::402,Temp Test,10.875,21.875,0.4375,11.0
2022/07/15/ 15:12:38::467,Temp Test,10.875,21.875,0.4375,11.0
2022/07/15/ 15:12:43::532,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:12:48::596,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:12:53::660,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:12:58::724,Temp Test,10.875,21.9375,0.4375,11.0625
2022/07/15/ 15:13:03::788,Temp Test,10.875,21.9375,0.5,11.0625
2022/07/15/ 15:13:08::852,Temp Test,10.9375,21.9375,0.5,11.0
2022/07/15/ 15:13:13::919,Temp Test,10.875,21.9375,0.5,11.0625
2022/07/15/ 15:13:18::980,Temp Test,10.9375,21.9375,0.4375,11.0
2022/07/15/ 15:13:24::045,Temp Test,10.875,21.9375,0.5,11.0625
2022/07/15/ 15:13:29::108,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:13:34::173,Temp Test,10.875,21.9375,0.5,11.0625
2022/07/15/ 15:13:39::236,Temp Test,10.875,21.9375,0.4375,11.0625
2022/07/15/ 15:13:44::300,Temp Test,10.875,21.9375,0.5,11.0625
2022/07/15/ 15:13:49::364,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:13:54::428,Temp Test,10.875,21.9375,0.4375,11.0625
2022/07/15/ 15:13:59::492,Temp Test,10.875,21.875,0.4375,11.0
2022/07/15/ 15:14:04::556,Temp Test,10.875,21.9375,0.4375,11.0625
2022/07/15/ 15:14:09::620,Temp Test,10.875,21.9375,0.4375,11.0625
2022/07/15/ 15:14:14::685,Temp Test,10.875,21.9375,0.4375,11.0625
2022/07/15/ 15:14:19::749,Temp Test,10.875,21.9375,0.4375,11.0625
2022/07/15/ 15:14:24::813,Temp Test,10.875,21.9375,0.4375,11.0625
2022/07/15/ 15:14:29::878,Temp Test,10.875,21.9375,0.4375,11.0625
2022/07/15/ 15:14:34::942,Temp Test,10.875,21.9375,0.5,11.0625
2022/07/15/ 15:14:40::006,Temp Test,10.875,21.9375,0.5,11.0625
2022/07/15/ 15:14:45::070,Temp Test,10.875,21.9375,0.4375,11.0625
2022/07/15/ 15:14:50::134,Temp Test,10.875,21.9375,0.375,11.0625
2022/07/15/ 15:14:55::198,Temp Test,10.875,21.9375,0.5,11.0625
2022/07/15/ 15:15:00::261,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:15:05::326,Temp Test,10.875,21.9375,0.4375,11.0625
2022/07/15/ 15:15:10::389,Temp Test,10.875,21.9375,0.4375,11.0625
2022/07/15/ 15:15:15::454,Temp Test,10.9375,21.9375,0.5,11.0
2022/07/15/ 15:15:20::518,Temp Test,10.9375,21.875,0.5,10.9375
2022/07/15/ 15:15:25::582,Temp Test,10.9375,21.875,0.5,10.9375
2022/07/15/ 15:15:30::646,Temp Test,10.875,21.9375,0.5625,11.0625
2022/07/15/ 15:15:35::710,Temp Test,10.875,21.9375,0.5,11.0625
2022/07/15/ 15:15:40::774,Temp Test,10.875,21.875,0.5625,11.0
2022/07/15/ 15:15:45::838,Temp Test,10.875,21.9375,0.5625,11.0625
2022/07/15/ 15:15:50::903,Temp Test,10.875,21.9375,0.5,11.0625
2022/07/15/ 15:15:55::967,Temp Test,10.875,21.875,0.5625,11.0
2022/07/15/ 15:16:01::030,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:16:06::095,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:16:11::159,Temp Test,10.875,21.9375,0.5,11.0625
2022/07/15/ 15:16:16::224,Temp Test,10.875,21.9375,0.5625,11.0625
2022/07/15/ 15:16:21::287,Temp Test,10.875,21.875,0.5625,11.0
2022/07/15/ 15:16:26::351,Temp Test,10.875,21.875,0.5625,11.0
2022/07/15/ 15:16:31::415,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:16:36::479,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:16:41::543,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:16:46::607,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:16:51::670,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:16:56::735,Temp Test,10.875,21.875,0.5625,11.0
2022/07/15/ 15:17:01::799,Temp Test,10.875,21.875,0.5625,11.0
2022/07/15/ 15:17:06::863,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:17:11::927,Temp Test,10.875,21.875,0.5625,11.0
2022/07/15/ 15:17:16::992,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:17:22::056,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:17:27::128,Temp Test,10.8125,21.875,0.5,11.0625
2022/07/15/ 15:17:32::186,Temp Test,10.8125,21.8125,0.5,11.0
2022/07/15/ 15:17:37::250,Temp Test,10.8125,21.875,0.5,11.0625
2022/07/15/ 15:17:42::314,Temp Test,10.8125,21.875,0.4375,11.0625
2022/07/15/ 15:17:47::378,Temp Test,10.8125,21.875,0.5,11.0625
2022/07/15/ 15:17:52::442,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:17:57::506,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:18:02::570,Temp Test,10.8125,21.875,0.5,11.0625
2022/07/15/ 15:18:07::634,Temp Test,10.8125,21.875,0.5,11.0625
2022/07/15/ 15:18:12::698,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:18:17::761,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:18:22::826,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:18:27::889,Temp Test,10.875,21.875,0.4375,11.0
2022/07/15/ 15:18:32::953,Temp Test,10.875,21.8125,0.5,10.9375
2022/07/15/ 15:18:38::018,Temp Test,10.875,21.875,0.5,11.0
2022/07/15/ 15:18:43::082,Temp Test,10.875,21.8125,0.5,10.9375
2022/07/15/ 15:18:48::146,Temp Test,10.875,21.8125,0.5,10.9375
2022/07/15/ 15:18:53::210,Temp Test,10.9375,21.8125,0.5625,10.875
2022/07/15/ 15:18:58::274,Temp Test,10.9375,21.8125,0.5,10.875
2022/07/15/ 15:19:03::339,Temp Test,10.9375,21.8125,0.5,10.875
2022/07/15/ 15:19:08::403,Temp Test,10.9375,21.875,0.5,10.9375
2022/07/15/ 15:19:13::467,Temp Test,11.0,21.8125,0.5,10.8125
2022/07/15/ 15:19:18::531,Temp Test,11.0,21.8125,0.5,10.8125
2022/07/15/ 15:19:23::595,Temp Test,11.0,21.8125,0.5,10.8125
2022/07/15/ 15:19:28::659,Temp Test,11.0625,21.8125,0.5625,10.75
2022/07/15/ 15:19:33::722,Temp Test,11.0625,21.8125,0.5,10.75
2022/07/15/ 15:19:38::787,Temp Test,11.125,21.75,0.5,10.625
2022/07/15/ 15:19:43::851,Temp Test,11.125,21.8125,0.5,10.6875
2022/07/15/ 15:19:48::915,Temp Test,11.125,21.8125,0.5,10.6875
2022/07/15/ 15:19:53::979,Temp Test,11.125,21.8125,0.5,10.6875
2022/07/15/ 15:19:59::043,Temp Test,11.1875,21.8125,0.5,10.625
2022/07/15/ 15:20:04::107,Temp Test,11.1875,21.8125,0.5,10.625
2022/07/15/ 15:20:09::170,Temp Test,11.25,21.8125,0.5,10.5625
2022/07/15/ 15:20:14::235,Temp Test,11.25,21.8125,0.5625,10.5625
2022/07/15/ 15:20:19::298,Temp Test,11.3125,21.8125,0.5625,10.5
2022/07/15/ 15:20:24::362,Temp Test,11.3125,21.8125,0.5,10.5
2022/07/15/ 15:20:29::427,Temp Test,11.375,21.8125,0.5625,10.4375
2022/07/15/ 15:20:34::493,Temp Test,11.375,21.8125,0.5625,10.4375
2022/07/15/ 15:20:39::557,Temp Test,11.375,21.75,0.5,10.375
2022/07/15/ 15:20:44::621,Temp Test,11.4375,21.8125,0.5,10.375
2022/07/15/ 15:20:49::685,Temp Test,11.4375,21.8125,0.5625,10.375
2022/07/15/ 15:20:54::749,Temp Test,11.4375,21.8125,0.5625,10.375
2022/07/15/ 15:20:59::813,Temp Test,11.5,21.75,0.5625,10.25
2022/07/15/ 15:21:04::877,Temp Test,11.5,21.8125,0.5625,10.3125
2022/07/15/ 15:21:09::940,Temp Test,11.5,21.8125,0.5625,10.3125
2022/07/15/ 15:21:15::004,Temp Test,11.5625,21.8125,0.5625,10.25
2022/07/15/ 15:21:20::068,Temp Test,11.5625,21.8125,0.5625,10.25
2022/07/15/ 15:21:25::134,Temp Test,11.5625,21.8125,0.5,10.25
2022/07/15/ 15:21:30::197,Temp Test,11.5625,21.8125,0.5625,10.25
2022/07/15/ 15:21:35::261,Temp Test,11.625,21.8125,0.5625,10.1875
2022/07/15/ 15:21:40::325,Temp Test,11.5625,21.8125,0.5625,10.25
2022/07/15/ 15:21:45::389,Temp Test,11.625,21.75,0.5625,10.125
2022/07/15/ 15:21:50::453,Temp Test,11.625,21.8125,0.5625,10.1875
2022/07/15/ 15:21:55::520,Temp Test,11.6875,21.75,0.5,10.0625
2022/07/15/ 15:22:00::581,Temp Test,11.625,21.8125,0.5625,10.1875
2022/07/15/ 15:22:05::647,Temp Test,11.625,21.8125,0.5625,10.1875
2022/07/15/ 15:22:10::710,Temp Test,11.625,21.8125,0.5625,10.1875
2022/07/15/ 15:22:15::775,Temp Test,11.6875,21.8125,0.5,10.125
2022/07/15/ 15:22:20::840,Temp Test,11.6875,21.8125,0.5625,10.125
2022/07/15/ 15:22:25::904,Temp Test,11.625,21.8125,0.5625,10.1875
2022/07/15/ 15:22:30::968,Temp Test,11.6875,21.8125,0.5,10.125
2022/07/15/ 15:22:36::032,Temp Test,11.625,21.8125,0.5,10.1875
2022/07/15/ 15:22:41::096,Temp Test,11.6875,21.875,0.5625,10.1875
2022/07/15/ 15:22:46::160,Temp Test,11.625,21.875,0.5625,10.25
2022/07/15/ 15:22:51::224,Temp Test,11.625,21.875,0.5,10.25
2022/07/15/ 15:22:56::287,Temp Test,11.625,21.875,0.5625,10.25
2022/07/15/ 15:23:01::352,Temp Test,11.625,21.875,0.5625,10.25
2022/07/15/ 15:23:06::418,Temp Test,11.625,21.8125,0.5625,10.1875
2022/07/15/ 15:23:11::480,Temp Test,11.625,21.8125,0.5,10.1875
2022/07/15/ 15:23:16::544,Temp Test,11.625,21.8125,0.5,10.1875
2022/07/15/ 15:23:21::609,Temp Test,11.625,21.875,0.5625,10.25
2022/07/15/ 15:23:26::673,Temp Test,11.625,21.8125,0.5625,10.1875
2022/07/15/ 15:23:31::737,Temp Test,11.625,21.8125,0.5625,10.1875
2022/07/15/ 15:23:36::800,Temp Test,11.5625,21.8125,0.5625,10.25
2022/07/15/ 15:23:41::866,Temp Test,11.625,21.8125,0.5625,10.1875
2022/07/15/ 15:23:46::930,Temp Test,11.625,21.8125,0.5625,10.1875
2022/07/15/ 15:23:51::995,Temp Test,11.625,21.8125,0.5625,10.1875
2022/07/15/ 15:23:57::058,Temp Test,11.625,21.8125,0.5,10.1875
2022/07/15/ 15:24:02::134,Temp Test,11.5625,21.8125,0.5,10.25
2022/07/15/ 15:24:07::186,Temp Test,11.5625,21.8125,0.5625,10.25
2022/07/15/ 15:24:12::250,Temp Test,11.5625,21.8125,0.5,10.25
2022/07/15/ 15:24:17::314,Temp Test,11.5625,21.8125,0.5625,10.25
2022/07/15/ 15:24:22::378,Temp Test,11.5625,21.8125,0.5625,10.25
2022/07/15/ 15:24:27::442,Temp Test,11.5625,21.8125,0.5,10.25
2022/07/15/ 15:24:32::506,Temp Test,11.5625,21.8125,0.5625,10.25
2022/07/15/ 15:24:37::570,Temp Test,11.5625,21.875,0.5625,10.3125
2022/07/15/ 15:24:42::634,Temp Test,11.5625,21.875,0.5,10.3125
2022/07/15/ 15:24:47::698,Temp Test,11.5,21.875,0.5625,10.375
2022/07/15/ 15:24:52::761,Temp Test,11.5,21.8125,0.5,10.3125
