RX Date/Time,Mask Temp(field 1),Room Temp(field 2),Delta(field 3),Tank Temp(field 4)
2022/07/15/ 14:34:39::620,Temp Test,22.75,22.5625,1.6875,0.1875
2022/07/15/ 14:34:44::685,Temp Test,22.75,22.5,1.6875,0.25
2022/07/15/ 14:34:49::749,Temp Test,22.75,22.5625,1.75,0.1875
2022/07/15/ 14:34:54::813,Temp Test,22.75,22.5625,1.75,0.1875
2022/07/15/ 14:34:59::877,Temp Test,22.75,22.5625,1.75,0.1875
2022/07/15/ 14:35:04::941,Temp Test,22.75,22.5625,1.75,0.1875
2022/07/15/ 14:35:10::005,Temp Test,22.75,22.5625,1.75,0.1875
2022/07/15/ 14:35:15::068,Temp Test,22.75,22.5625,1.75,0.1875
2022/07/15/ 14:35:20::133,Temp Test,22.75,22.5625,1.75,0.1875
2022/07/15/ 14:35:25::197,Temp Test,22.75,22.5625,1.6875,0.1875
2022/07/15/ 14:35:30::263,Temp Test,22.75,22.5625,1.6875,0.1875
2022/07/15/ 14:35:35::327,Temp Test,22.75,22.5625,1.75,0.1875
2022/07/15/ 14:35:40::392,Temp Test,22.75,22.5625,1.75,0.1875
2022/07/15/ 14:35:45::456,Temp Test,22.75,22.5625,1.75,0.1875
2022/07/15/ 14:35:50::521,Temp Test,22.8125,22.5625,1.6875,0.25
2022/07/15/ 14:35:55::584,Temp Test,22.75,22.5625,1.6875,0.1875
2022/07/15/ 14:36:00::648,Temp Test,22.75,22.5625,1.6875,0.1875
2022/07/15/ 14:36:05::712,Temp Test,22.75,22.5625,1.6875,0.1875
2022/07/15/ 14:36:10::775,Temp Test,22.75,22.5,1.625,0.25
2022/07/15/ 14:36:15::839,Temp Test,22.75,22.5625,1.6875,0.1875
2022/07/15/ 14:36:20::903,Temp Test,22.8125,22.5625,1.625,0.25
2022/07/15/ 14:36:25::968,Temp Test,22.8125,22.5625,1.625,0.25
2022/07/15/ 14:36:31::032,Temp Test,22.75,22.5625,1.625,0.1875
2022/07/15/ 14:36:36::096,Temp Test,22.6875,22.5625,1.625,0.125
2022/07/15/ 14:36:41::160,Temp Test,22.5625,22.5625,1.5,0.0
2022/07/15/ 14:36:46::224,Temp Test,22.4375,22.5625,1.4375,0.125
2022/07/15/ 14:36:51::288,Temp Test,22.3125,22.5,1.5625,0.1875
2022/07/15/ 14:36:56::352,Temp Test,22.125,22.5,1.5625,0.375
2022/07/15/ 14:37:01::420,Temp Test,21.875,22.5,1.625,0.625
2022/07/15/ 14:37:06::481,Temp Test,21.6875,22.5,1.5625,0.8125
2022/07/15/ 14:37:11::546,Temp Test,21.4375,22.5,1.5625,1.0625
2022/07/15/ 14:37:16::609,Temp Test,21.25,22.5625,1.5,1.3125
2022/07/15/ 14:37:21::673,Temp Test,21.0,22.5,1.4375,1.5
2022/07/15/ 14:37:26::738,Temp Test,20.75,22.5625,1.375,1.8125
2022/07/15/ 14:37:31::802,Temp Test,20.5625,22.5,1.25,1.9375
2022/07/15/ 14:37:36::865,Temp Test,20.25,22.5625,1.25,2.3125
2022/07/15/ 14:37:41::929,Temp Test,20.0,22.5,1.1875,2.5
2022/07/15/ 14:37:46::993,Temp Test,19.75,22.5,1.125,2.75
2022/07/15/ 14:37:52::057,Temp Test,19.5625,22.5,1.0625,2.9375
2022/07/15/ 14:37:57::132,Temp Test,19.25,22.5,1.0,3.25
2022/07/15/ 14:38:02::184,Temp Test,19.0625,22.5,1.0,3.4375
2022/07/15/ 14:38:07::250,Temp Test,18.8125,22.5,0.9375,3.6875
2022/07/15/ 14:38:12::313,Temp Test,18.5625,22.5,0.875,3.9375
2022/07/15/ 14:38:17::377,Temp Test,18.375,22.5,0.875,4.125
2022/07/15/ 14:38:22::441,Temp Test,18.125,22.5,0.8125,4.375
2022/07/15/ 14:38:27::505,Temp Test,17.9375,22.5,0.75,4.5625
2022/07/15/ 14:38:32::569,Temp Test,17.6875,22.5,0.75,4.8125
2022/07/15/ 14:38:37::633,Temp Test,17.5,22.5,0.6875,5.0
