RX Date/Time,Mask Temp(field 1),Room Temp(field 2),Delta(field 3)
2022/07/14/ 10:01:51::100,Temp Test,24277,10.125,20.3125,10.1875
2022/07/14/ 10:01:56::904,Temp Test,24282,10.125,20.25,10.125
2022/07/14/ 10:02:02::710,Temp Test,24287,10.125,20.25,10.125
2022/07/14/ 10:02:08::515,Temp Test,24293,10.1875,20.3125,10.125
2022/07/14/ 10:02:14::320,Temp Test,24298,10.125,20.3125,10.1875
2022/07/14/ 10:02:20::125,Temp Test,24303,10.125,20.3125,10.1875
2022/07/14/ 10:02:25::929,Temp Test,24309,10.125,20.3125,10.1875
2022/07/14/ 10:02:31::736,Temp Test,24314,10.1875,20.3125,10.125
2022/07/14/ 10:02:37::540,Temp Test,24319,10.125,20.25,10.125
2022/07/14/ 10:02:43::346,Temp Test,24325,10.125,20.3125,10.1875
2022/07/14/ 10:02:49::151,Temp Test,24330,10.125,20.3125,10.1875
2022/07/14/ 10:02:54::955,Temp Test,24335,10.125,20.3125,10.1875
2022/07/14/ 10:03:00::760,Temp Test,24340,10.125,20.3125,10.1875
2022/07/14/ 10:03:06::565,Temp Test,24346,10.125,20.3125,10.1875
2022/07/14/ 10:03:12::373,Temp Test,24351,10.1875,20.3125,10.125
2022/07/14/ 10:03:18::174,Temp Test,24356,10.1875,20.375,10.1875
2022/07/14/ 10:03:23::979,Temp Test,24362,10.1875,20.3125,10.125
2022/07/14/ 10:03:29::784,Temp Test,24367,10.1875,20.3125,10.125
2022/07/14/ 10:03:35::589,Temp Test,24372,10.1875,20.3125,10.125
2022/07/14/ 10:03:41::394,Temp Test,24378,10.1875,20.3125,10.125
2022/07/14/ 10:03:47::198,Temp Test,24383,10.1875,20.3125,10.125
2022/07/14/ 10:03:53::003,Temp Test,24388,10.25,20.3125,10.0625
2022/07/14/ 10:03:58::807,Temp Test,24393,10.25,20.3125,10.0625
2022/07/14/ 10:04:04::614,Temp Test,24399,10.25,20.3125,10.0625
2022/07/14/ 10:04:10::418,Temp Test,24404,10.25,20.25,10.0
2022/07/14/ 10:04:16::223,Temp Test,24409,10.25,20.3125,10.0625
2022/07/14/ 10:04:22::029,Temp Test,24415,10.25,20.25,10.0
2022/07/14/ 10:04:27::833,Temp Test,24420,10.25,20.25,10.0
